ID,Gender,Education,Alcohol(Class),Cannabis(Class),Crack(Class),Heroin(Class)
65.0,Hombre,Doctorado finalizado,Ayer,Ayer,Nunca,Nunca
66.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
67.0,Hombre,Dejó la escuela a los 16 años,En el último mes,Nunca,Nunca,Nunca
68.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
69.0,Hombre,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
70.0,Mujer,Dejó la escuela a los 16 años,Ayer,Nunca,Nunca,Nunca
71.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última semana,Nunca,Nunca
72.0,Mujer,Dejó la escuela a los 18 años,En la última semana,Hace mas de una decada,Nunca,Nunca
73.0,Hombre,Dejó la escuela a los 18 años,Ayer,Hace mas de una decada,Nunca,Nunca
74.0,Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
75.0,Mujer,Dejó la escuela a los 16 años,En el último año,Nunca,Nunca,Nunca
76.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
77.0,Mujer,Dejó la escuela a los 17 años,En el último mes,Nunca,Nunca,Nunca
78.0,Hombre,Grado Universitario,En el último año,En la última semana,Nunca,Nunca
79.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Hace mas de una decada,Nunca,Nunca
80.0,Hombre,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
81.0,Mujer,Doctorado finalizado,Ayer,Hace mas de una decada,Nunca,Nunca
82.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Hace mas de una decada
83.0,Hombre,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
84.0,Mujer,Dejó la escuela a los 17 años,En el último año,Hace mas de una decada,Nunca,Nunca
85.0,Hombre,Dejó la escuela a los 16 años,En la última semana,En la última semana,Nunca,Nunca
86.0,Mujer,Dejó la escuela a los 18 años,En el último año,Hace mas de una decada,Nunca,Nunca
87.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Hace mas de una decada,Nunca,Nunca
88.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
89.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
90.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
91.0,Mujer,Maestría finalizada,Ayer,En la última decada,Nunca,Nunca
92.0,Hombre,Diploma/certificado profesional,En la última decada,Hace mas de una decada,Nunca,Nunca
93.0,Hombre,Dejó la escuela a los 18 años,En el último mes,Hace mas de una decada,Nunca,Nunca
94.0,Mujer,Dejó la escuela a los 16 años,En el último año,Nunca,Nunca,Nunca
95.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
96.0,Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
97.0,Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
98.0,Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
99.0,Hombre,Doctorado finalizado,En el último mes,Hace mas de una decada,Nunca,Nunca
100.0,Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
101.0,Hombre,Maestría finalizada,Ayer,Ayer,Nunca,Nunca
102.0,Mujer,Dejó la escuela a los 16 años,En el último mes,Hace mas de una decada,Nunca,Nunca
103.0,Hombre,Dejó la escuela a los 18 años,Ayer,Hace mas de una decada,Hace mas de una decada,En la última semana
104.0,Mujer,Diploma/certificado profesional,En el último mes,Nunca,Nunca,Nunca
105.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
106.0,Hombre,Diploma/certificado profesional,En el último año,Nunca,Nunca,Nunca
107.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,Nunca,Nunca,Nunca
108.0,Mujer,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
109.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
110.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
111.0,Hombre,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
112.0,Hombre,Maestría finalizada,Ayer,En la última decada,Nunca,Nunca
113.0,Mujer,Grado Universitario,En el último año,En la última semana,Nunca,Nunca
114.0,Mujer,Diploma/certificado profesional,En el último mes,En la última semana,Nunca,Nunca
115.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,En la última semana
116.0,Mujer,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
117.0,Hombre,Diploma/certificado profesional,En el último mes,En la última semana,Nunca,Nunca
118.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,En la última semana
119.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Hace mas de una decada,Nunca,Nunca
120.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
121.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
122.0,Mujer,Diploma/certificado profesional,En la última decada,Nunca,Nunca,Nunca
123.0,Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
124.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
125.0,Hombre,Dejó la escuela a los 16 años,En el último año,Nunca,Nunca,Nunca
126.0,Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
127.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
128.0,Mujer,Dejó la escuela a los 17 años,En la última semana,Nunca,Nunca,Nunca
129.0,Hombre,Doctorado finalizado,Nunca,Nunca,Nunca,Nunca
130.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
131.0,Mujer,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
132.0,Mujer,Dejó la escuela a los 16 años,En el último mes,Nunca,Nunca,Nunca
133.0,Mujer,Dejó la escuela a los 18 años,En el último mes,Nunca,Nunca,Nunca
134.0,Hombre,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
135.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
136.0,Mujer,Dejó la escuela a los 16 años,Hace mas de una decada,Nunca,Nunca,Nunca
137.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
138.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
139.0,Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
140.0,Hombre,Dejó la escuela a los 16 años,Ayer,Hace mas de una decada,Nunca,Nunca
141.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
142.0,Mujer,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
143.0,Hombre,Dejó la escuela a los 17 años,Ayer,Hace mas de una decada,Nunca,Nunca
144.0,Hombre,Diploma/certificado profesional,Hace mas de una decada,Nunca,Nunca,Nunca
145.0,Hombre,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
146.0,Mujer,Grado Universitario,En el último mes,Hace mas de una decada,Nunca,Nunca
147.0,Hombre,Diploma/certificado profesional,Ayer,Hace mas de una decada,Nunca,Nunca
148.0,Hombre,Maestría finalizada,En el último mes,Nunca,Nunca,Nunca
149.0,Mujer,Diploma/certificado profesional,En el último mes,Nunca,Nunca,Nunca
150.0,Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
151.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
152.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
153.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
154.0,Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
155.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
156.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
157.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
158.0,Hombre,Dejó la escuela a los 16 años,Ayer,Nunca,Nunca,Nunca
159.0,Mujer,Grado Universitario,En el último año,Nunca,Nunca,Nunca
160.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,Nunca,Nunca,Nunca
161.0,Hombre,Maestría finalizada,En la última semana,Ayer,Nunca,Nunca
162.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
163.0,Mujer,Grado Universitario,En el último año,En la última semana,Nunca,Nunca
164.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,Nunca,Nunca,Nunca
165.0,Mujer,Doctorado finalizado,En el último año,Hace mas de una decada,Nunca,Nunca
166.0,Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
167.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,En la última decada,Nunca
168.0,Mujer,Diploma/certificado profesional,En la última decada,Nunca,Nunca,Nunca
169.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
170.0,Mujer,Dejó la escuela a los 18 años,En la última semana,Nunca,Nunca,Nunca
171.0,Hombre,Dejó la escuela a los 16 años,En la última decada,En la última semana,Nunca,Nunca
172.0,Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
173.0,Mujer,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
174.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
175.0,Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
176.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
177.0,Mujer,Grado Universitario,En el último año,Nunca,Nunca,Nunca
178.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
179.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
180.0,Mujer,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
181.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
182.0,Hombre,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
183.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
184.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
185.0,Hombre,Dejó la escuela a los 18 años,Ayer,Nunca,Nunca,Nunca
186.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
187.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
188.0,Mujer,Dejó la escuela a los 16 años,En el último mes,Hace mas de una decada,Nunca,Nunca
189.0,Mujer,Dejó la escuela a los 16 años,En el último mes,Nunca,Nunca,Nunca
190.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
191.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
192.0,Hombre,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
193.0,Mujer,Diploma/certificado profesional,En la última semana,En el último año,Hace mas de una decada,Nunca
194.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
195.0,Mujer,Grado Universitario,En el último año,En la última semana,Nunca,Nunca
196.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
197.0,Hombre,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
198.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
199.0,Mujer,Diploma/certificado profesional,Ayer,Ayer,Nunca,En la última semana
200.0,Mujer,Diploma/certificado profesional,En el último mes,En el último mes,Nunca,Nunca
201.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
202.0,Hombre,Maestría finalizada,En la última semana,En la última semana,En la última semana,Nunca
203.0,Mujer,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
204.0,Hombre,Dejó la escuela antes de los 16 años,En la última semana,Nunca,Nunca,Nunca
205.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
206.0,Mujer,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
207.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
208.0,Mujer,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
209.0,Mujer,Grado Universitario,En el último mes,Ayer,Nunca,Nunca
210.0,Hombre,Maestría finalizada,Nunca,Nunca,Nunca,Nunca
211.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,Nunca,Nunca,Nunca
212.0,Mujer,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
213.0,Mujer,Diploma/certificado profesional,Ayer,Hace mas de una decada,Nunca,Nunca
214.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
215.0,Mujer,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
216.0,Mujer,Grado Universitario,En la última semana,En el último mes,Nunca,Nunca
217.0,Mujer,Diploma/certificado profesional,En la última semana,Hace mas de una decada,Nunca,Nunca
218.0,Hombre,Diploma/certificado profesional,En la última decada,Hace mas de una decada,Hace mas de una decada,Hace mas de una decada
219.0,Mujer,Maestría finalizada,En el último mes,En la última decada,Nunca,Nunca
220.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,Hace mas de una decada,Nunca,Nunca
221.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
222.0,Mujer,Grado Universitario,En el último año,Nunca,Nunca,Nunca
223.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
224.0,Hombre,Grado Universitario,Hace mas de una decada,Nunca,Nunca,Nunca
225.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
226.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
227.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
228.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
229.0,Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
230.0,Mujer,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
231.0,Mujer,Diploma/certificado profesional,En la última semana,Hace mas de una decada,Nunca,Nunca
232.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
233.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
234.0,Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
235.0,Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
236.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
237.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
238.0,Mujer,Dejó la escuela a los 16 años,En la última semana,En la última decada,Nunca,Nunca
239.0,Mujer,Dejó la escuela a los 18 años,En el último mes,Nunca,Nunca,Nunca
240.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
241.0,Mujer,Maestría finalizada,En el último mes,Nunca,Nunca,Nunca
242.0,Mujer,Dejó la escuela a los 18 años,En la última semana,En la última semana,Nunca,Nunca
243.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
244.0,Mujer,Grado Universitario,En la última semana,En la última decada,En la última semana,Nunca
245.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
246.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Hace mas de una decada,Nunca,Nunca
247.0,Mujer,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
248.0,Hombre,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
249.0,Mujer,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
250.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
251.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
252.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
253.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
254.0,Mujer,Doctorado finalizado,Ayer,En la última semana,Nunca,Nunca
255.0,Hombre,Diploma/certificado profesional,En el último mes,En la última decada,Nunca,Nunca
256.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
257.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,En la última semana,Nunca,Nunca
258.0,Hombre,Doctorado finalizado,En el último mes,Hace mas de una decada,Nunca,Nunca
259.0,Hombre,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
260.0,Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
261.0,Mujer,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
262.0,Hombre,Grado Universitario,En la última decada,Hace mas de una decada,Nunca,Nunca
263.0,Hombre,Maestría finalizada,En el último año,Nunca,Nunca,Nunca
264.0,Mujer,Dejó la escuela antes de los 16 años,En la última semana,Nunca,Nunca,Nunca
265.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
266.0,Mujer,Grado Universitario,En la última decada,Nunca,Nunca,Nunca
267.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
268.0,Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
269.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
270.0,Mujer,Maestría finalizada,En el último mes,Nunca,Nunca,Nunca
271.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
272.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
273.0,Hombre,Doctorado finalizado,Ayer,Nunca,Nunca,Nunca
274.0,Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
275.0,Hombre,Maestría finalizada,Ayer,En la última decada,Hace mas de una decada,Nunca
276.0,Mujer,Maestría finalizada,En el último mes,Hace mas de una decada,Nunca,Nunca
277.0,Hombre,Doctorado finalizado,Ayer,Nunca,Nunca,Nunca
278.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
279.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
280.0,Hombre,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
281.0,Hombre,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
282.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
283.0,Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
284.0,Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
285.0,Hombre,Diploma/certificado profesional,En el último año,En la última semana,Nunca,Nunca
286.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
287.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
288.0,Hombre,Maestría finalizada,En el último año,Hace mas de una decada,Nunca,Nunca
289.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Nunca,Nunca,Nunca
290.0,Mujer,Maestría finalizada,En el último mes,En la última semana,Nunca,Nunca
291.0,Mujer,Diploma/certificado profesional,Nunca,Nunca,Nunca,Nunca
292.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
293.0,Mujer,Diploma/certificado profesional,En el último año,Nunca,Nunca,Nunca
295.0,Mujer,Diploma/certificado profesional,En el último año,En la última decada,Nunca,Nunca
296.0,Mujer,Dejó la escuela a los 17 años,En la última semana,Nunca,Nunca,Nunca
297.0,Hombre,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,En la última semana
298.0,Mujer,Dejó la escuela a los 16 años,Nunca,Nunca,Nunca,Nunca
300.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
301.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
302.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,Nunca,Nunca,Nunca
303.0,Mujer,Doctorado finalizado,Ayer,Nunca,Nunca,Nunca
304.0,Mujer,Diploma/certificado profesional,Ayer,En la última semana,Nunca,Nunca
305.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
306.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
307.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
308.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
309.0,Mujer,Dejó la escuela a los 18 años,En la última semana,Nunca,Nunca,Nunca
310.0,Hombre,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
311.0,Mujer,Grado Universitario,En el último año,Nunca,Nunca,Nunca
312.0,Mujer,Dejó la escuela a los 16 años,En el último año,Hace mas de una decada,Nunca,Nunca
313.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
314.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
315.0,Mujer,Dejó la escuela a los 18 años,En la última semana,Nunca,Nunca,Nunca
316.0,Mujer,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
317.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
318.0,Hombre,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
319.0,Mujer,Diploma/certificado profesional,En la última decada,Nunca,Nunca,Nunca
320.0,Mujer,Dejó la escuela a los 16 años,En el último mes,Nunca,Nunca,Nunca
321.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
322.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
323.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
324.0,Hombre,Dejó la escuela a los 17 años,Ayer,En la última semana,Nunca,Hace mas de una decada
325.0,Mujer,Doctorado finalizado,En la última semana,Hace mas de una decada,Nunca,Nunca
326.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
